Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
,,,,,,998,12,0.012024048096192385,1,11,998,6,0.006012024048096192,6,0
MinMax,61,180,114,46.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,5,3,998,1,0.001002004008016032,1,0
MinMax,61,186.5,115,50.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,3,9,998,2,0.002004008016032064,2,0
MinMax,61,187,122.5,49.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,7,3,998,3,0.003006012024048096,0,3
MinMax,61,174.5,118,51,HFNL,142,5,0.035211267605633804,3,2,142,2,0.014084507042253521,1,1
,,,,,,998,25,0.025050100200400802,25,0,998,0,0,0,0
MinMax,61,181.5,119.5,45,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,19,0.01903807615230461,17,2,998,7,0.0070140280561122245,0,7
MinMax,61,177.5,117.5,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,15,0.01503006012024048,12,3,998,1,0.001002004008016032,1,0
MinMax,61,179.5,129,47.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,20,0.02004008016032064,18,2,998,9,0.009018036072144289,0,9
MinMax,61,184,108.5,47.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,4,10,998,2,0.002004008016032064,2,0
MinMax,61,184.5,116,48,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,6,7,998,4,0.004008016032064128,3,1
MinMax,61,193.5,114.5,42.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,18,0.018036072144288578,3,15,998,1,0.001002004008016032,1,0
MinMax,61,189,116,52.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,15,0.01503006012024048,4,11,998,5,0.00501002004008016,3,2
MinMax,61,181,122.5,46,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,22,0.022044088176352707,20,2,998,5,0.00501002004008016,0,5
MinMax,61,187.5,113.5,46,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,2,6,998,2,0.002004008016032064,2,0
MinMax,61,192,116,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,18,0.018036072144288578,2,16,998,5,0.00501002004008016,3,2
MinMax,61,184,114.5,49.5,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,5,3,998,1,0.001002004008016032,0,1
MinMax,61,178,120.5,46.5,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,9,2,998,2,0.002004008016032064,0,2
MinMax,61,184.5,125.5,43,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,14,3,998,8,0.008016032064128256,0,8
MinMax,61,186,115.5,46,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,2,8,998,2,0.002004008016032064,2,0
